code,line_item,fiscal_year,value,statement_group,is_subtotal,is_percent_metric
IS_COGS,Cost of Goods Sold,2016,-9500.0,Cost,False,False
IS_COGS,Cost of Goods Sold,2017,-10524.0,Cost,False,False
IS_COGS,Cost of Goods Sold,2018,-10607.0,Cost,False,False
IS_COGS,Cost of Goods Sold,2019,-11347.0,Cost,False,False
IS_COGS,Cost of Goods Sold,2020,-9982.0,Cost,False,False
IS_COGS,Cost of Goods Sold,2021,-10511.0,Cost,False,False
IS_COGS,Cost of Goods Sold,2022,-11863.0,Cost,False,False
IS_COGS,Cost of Goods Sold,2023,-11249.0,Cost,False,False
IS_DIST,Distribution and Selling Expense,2016,-4029.0,Operating expense,False,False
IS_DIST,Distribution and Selling Expense,2017,-4710.0,Operating expense,False,False
IS_DIST,Distribution and Selling Expense,2018,-4909.0,Operating expense,False,False
IS_DIST,Distribution and Selling Expense,2019,-5272.0,Operating expense,False,False
IS_DIST,Distribution and Selling Expense,2020,-5358.0,Operating expense,False,False
IS_DIST,Distribution and Selling Expense,2021,-4969.0,Operating expense,False,False
IS_DIST,Distribution and Selling Expense,2022,-5470.0,Operating expense,False,False
IS_DIST,Distribution and Selling Expense,2023,-5528.0,Operating expense,False,False
IS_DPS,Dividend Per Share (DPS),2016,2.0,Per share,False,False
IS_DPS,Dividend Per Share (DPS),2017,2.6,Per share,False,False
IS_DPS,Dividend Per Share (DPS),2018,3.35,Per share,False,False
IS_DPS,Dividend Per Share (DPS),2019,3.85,Per share,False,False
IS_DPS,Dividend Per Share (DPS),2020,,Per share,False,False
IS_DPS,Dividend Per Share (DPS),2021,3.3,Per share,False,False
IS_DPS,Dividend Per Share (DPS),2022,0.7,Per share,False,False
IS_DPS,Dividend Per Share (DPS),2023,0.7,Per share,False,False
IS_EBIT,Operating Profit (EBIT),2016,1407.0,Subtotal,True,False
IS_EBIT,Operating Profit (EBIT),2017,1985.0,Subtotal,True,False
IS_EBIT,Operating Profit (EBIT),2018,2361.0,Subtotal,True,False
IS_EBIT,Operating Profit (EBIT),2019,2620.0,Subtotal,True,False
IS_EBIT,Operating Profit (EBIT),2020,803.0,Subtotal,True,False
IS_EBIT,Operating Profit (EBIT),2021,1840.0,Subtotal,True,False
IS_EBIT,Operating Profit (EBIT),2022,387.0,Subtotal,True,False
IS_EBIT,Operating Profit (EBIT),2023,355.0,Subtotal,True,False
IS_EBT,Income Before Taxes,2016,1353.0,Subtotal,True,False
IS_EBT,Income Before Taxes,2017,1927.0,Subtotal,True,False
IS_EBT,Income Before Taxes,2018,2298.0,Subtotal,True,False
IS_EBT,Income Before Taxes,2019,2486.0,Subtotal,True,False
IS_EBT,Income Before Taxes,2020,651.0,Subtotal,True,False
IS_EBT,Income Before Taxes,2021,1698.0,Subtotal,True,False
IS_EBT,Income Before Taxes,2022,232.0,Subtotal,True,False
IS_EBT,Income Before Taxes,2023,175.0,Subtotal,True,False
IS_EPSB,Basic EPS,2016,4.72,Per share,False,False
IS_EPSB,Basic EPS,2017,6.78,Per share,False,False
IS_EPSB,Basic EPS,2018,8.45,Per share,False,False
IS_EPSB,Basic EPS,2019,9.48,Per share,False,False
IS_EPSB,Basic EPS,2020,1.79,Per share,False,False
IS_EPSB,Basic EPS,2021,7.39,Per share,False,False
IS_EPSB,Basic EPS,2022,0.27,Per share,False,False
IS_EPSB,Basic EPS,2023,-0.18,Per share,False,False
IS_EPSD,Diluted EPS,2016,4.7,Per share,False,False
IS_EPSD,Diluted EPS,2017,6.75,Per share,False,False
IS_EPSD,Diluted EPS,2018,8.42,Per share,False,False
IS_EPSD,Diluted EPS,2019,9.44,Per share,False,False
IS_EPSD,Diluted EPS,2020,1.78,Per share,False,False
IS_EPSD,Diluted EPS,2021,7.36,Per share,False,False
IS_EPSD,Diluted EPS,2022,0.27,Per share,False,False
IS_EPSD,Diluted EPS,2023,-0.18,Per share,False,False
IS_ETR,Effective Tax Rate %,2016,0.29,Margin %,False,True
IS_ETR,Effective Tax Rate %,2017,0.28,Margin %,False,True
IS_ETR,Effective Tax Rate %,2018,0.26,Margin %,False,True
IS_ETR,Effective Tax Rate %,2019,0.25,Margin %,False,True
IS_ETR,Effective Tax Rate %,2020,0.35,Margin %,False,True
IS_ETR,Effective Tax Rate %,2021,0.28,Margin %,False,True
IS_ETR,Effective Tax Rate %,2022,0.75,Margin %,False,True
IS_ETR,Effective Tax Rate %,2023,1.149,Margin %,False,True
IS_FINEXP,Financial Expenses,2016,-74.0,Financial,False,False
IS_FINEXP,Financial Expenses,2017,-82.0,Financial,False,False
IS_FINEXP,Financial Expenses,2018,-91.0,Financial,False,False
IS_FINEXP,Financial Expenses,2019,-166.0,Financial,False,False
IS_FINEXP,Financial Expenses,2020,-178.0,Financial,False,False
IS_FINEXP,Financial Expenses,2021,-172.0,Financial,False,False
IS_FINEXP,Financial Expenses,2022,-199.0,Financial,False,False
